更新日,URL,タイトル,備考
2021/08/27,https://www.digital.go.jp/meeting/posts/kxRzNtGE,内閣官房情報通信技術（ＩＴ）総合戦略室 コンプライアンス委員会（令和3年8月27日開催）,
2021/09/01,https://www.digital.go.jp/posts/HTQB-hAX,「デジタルの日」検討委員会設置のお知らせ,
2021/09/06,https://www.digital.go.jp/meeting/posts/zvKTxKMK,第1回デジタル社会推進会議（令和3年9月6日開催）,
2021/09/10,https://cio.go.jp/sites/default/files/uploads/documents/digital/20210906_meeting_executive_01.pdf,デジタル社会推進会議幹事会の開催について（PDF／91KB）,
2021/09/10,https://www.digital.go.jp/meeting/posts/stdbnYdh,第1回デジタル社会推進会議幹事会（令和3年9月10日開催）,
2021/09/22,https://www.digital.go.jp/meeting/posts/gQ6Pun4A,地方公共団体の基幹業務等システムの統一・標準化に関する関係府省会議（令和3年9月22日開催）,
2021/09/28,https://cio.go.jp/sites/default/files/uploads/documents/digital/20210907_meeting_conception_01.pdf,デジタル社会構想会議の開催について（PDF／53KB）,
2021/09/28,https://www.digital.go.jp/meeting/posts/LykfW_XV,第1回デジタル社会構想会議（令和3年9月28日開催）,
2021/09/29,https://www.digital.go.jp/meeting/posts/EQfDTVuA,デジタル庁コンプライアンス委員会（令和3年9月29日開催）,
2021/09/29,https://www.digital.go.jp/meeting/posts/AcLOjFsQ,マイナンバーカードの普及と健康保険証利用に関する関係府省庁会議（第5回）（令和3年9月29日開催）,
2021/10/22,https://cio.go.jp/sites/default/files/uploads/documents/digital/20211021_meeting_my_number_wg_01.pdf,マイナンバー制度及び国と地方のデジタル基盤抜本改善ワーキンググループの開催について（PDF／91KB）,
2021/10/22,https://www.digital.go.jp/meeting/posts/bKRna084,マイナンバー制度及び国と地方のデジタル基盤抜本改善ワーキンググループ（第1回）（令和3年10月22日開催）,
2021/10/25,https://www.digital.go.jp/meeting/posts/icPUoaig,データ戦略ワーキンググループ（第1回）（令和3年10月25日開催）,
2021/11/04,https://www.digital.go.jp/meeting/posts/NbtVwXoh,第2回デジタル社会構想会議（令和3年11月4日開催）,
2021/11/04,https://www.digital.go.jp/meeting/posts/o88lhOm9,EBPM推進委員会（第1回）（令和3年11月4日開催）,
2021/11/16,https://www.digital.go.jp/meeting/posts/3zmv1HyO,プラットフォームにおけるデータ取扱いルールの実装に関するサブワーキンググループ（第1回）（プラットフォームにおけるデータ取扱いルールの実装に関する検討会（第5回））（令和3年11月16日開催）,
2021/11/16,https://cio.go.jp/sites/default/files/uploads/documents/digital/20211109_meeting_extraordinary_administrative_research_committee_01.pdf,デジタル臨時行政調査会の開催について（PDF／75KB）,
2021/11/16,https://cio.go.jp/sites/default/files/uploads/documents/digital/20211116_meeting_extraordinary_administrative_research_committee_03.pdf,デジタル臨時行政調査会構成員（PDF／86KB）,
2021/11/16,https://www.digital.go.jp/meeting/posts/54yivy_u,デジタル臨時行政調査会（第1回）（令和3年11月16日開催）,
2021/11/18,https://www.digital.go.jp/meeting/posts/9kD1WCFK,トラストを確保したDX推進サブワーキンググループ（第1回）（令和3年11月18日開催）,
2021/11/22,https://www.digital.go.jp/meeting/posts/-WRAugzZ,マイナンバー制度及び国と地方のデジタル基盤抜本改善ワーキンググループ（第2回）（令和3年11月22日開催）,
2021/11/26,https://www.digital.go.jp/meeting/posts/Sl200Av1,こどもに関する情報・データ連携副大臣プロジェクトチーム（第1回）（令和3年11月26日開催）,
2021/12/08,https://www.digital.go.jp/meeting/posts/2H5fQKcg,第3回デジタル社会構想会議（令和3年12月8日開催）,
2021/12/13,https://www.digital.go.jp/meeting/posts/fkyjZNZY,トラストを確保したDX推進サブワーキンググループ（第2回）（令和3年12月13日開催）,
2021/12/17,https://www.digital.go.jp/meeting/posts/SnUNooHr,デジタル庁コンプライアンス委員会（令和3年12月17日開催）,
2021/12/22,https://www.digital.go.jp/meeting/posts/91qdfD4B,デジタル臨時行政調査会（第2回）（令和3年12月22日開催）,
2021/12/24,https://www.digital.go.jp/meeting/posts/sccTvFQ1,第2回デジタル社会推進会議（令和3年12月24日開催）,
2021/12/27,https://www.digital.go.jp/meeting/posts/tXNuQc45,トラストを確保したDX推進サブワーキンググループ（第3回）,
2022/01/21,https://www.digital.go.jp/meeting/posts/64HQeKLf,こどもに関する情報・データ連携 副大臣プロジェクトチーム（第2回）,
2022/01/25,https://www.digital.go.jp/meeting/posts/GLvad6b1,トラストを確保したDX推進サブワーキンググループ（第4回）（令和4年1月25日開催）,
2022/02/08,https://www.digital.go.jp/meeting/posts/moAAHy8B,トラストを確保したDX推進サブワーキンググループ（第5回）（令和4年2月8日開催）,
2022/02/14,https://www.digital.go.jp/meeting/posts/OkKwCLVn,プラットフォームにおけるデータ取扱いルールの実装に関するサブワーキンググループ（第2回）,
2022/02/17,https://www.digital.go.jp/meeting/posts/vkGKbhep,デジタル臨時行政調査会作業部会 法制事務のデジタル化検討チーム（第1回）（令和4年2月17日開催）,
2022/02/17,https://www.digital.go.jp/meeting/posts/SnUNooHr,デジタル庁コンプライアンス委員会（令和4年2月17日開催）,
2022/02/22,https://www.digital.go.jp/meeting/posts/zCAtHaqf,デジタル臨時行政調査会作業部会（第2回）（令和4年2月22日開催）,
2022/02/22,https://www.digital.go.jp/meeting/posts/VMXYJ6B0,デジタル臨時行政調査会作業部会（第3回）（令和4年2月22日開催）,
2022/02/25,https://www.digital.go.jp/meeting/posts/eO-AP2lW,トラストを確保したDX推進サブワーキンググループ（第6回）（令和4年2月25日開催）,
2022/03/15,https://www.digital.go.jp/meeting/posts/OiQ8dBEV,デジタル臨時行政調査会作業部会（第5回）（令和4年3月15日開催）,
2022/03/16,https://www.digital.go.jp/meeting/posts/DExoduDe,デジタル臨時行政調査会作業部会 法制事務のデジタル化検討チーム（第3回）（令和4年3月16日開催）,
2022/03/17,https://www.digital.go.jp/meeting/posts/Pwml-5Z0,マイナンバー制度及び国と地方のデジタル基盤抜本改善ワーキンググループ（第3回）（令和4年3月17日開催）,
2022/03/18,https://www.digital.go.jp/meeting/posts/njIUKu30,デジタル臨時行政調査会作業部会（第6回）（令和4年3月18日開催）,
2022/03/22,https://www.digital.go.jp/meeting/posts/2vm5Wdbk,トラストを確保したDX推進サブワーキンググループ（第7回）（令和4年3月22日開催）,
2022/03/23,https://www.digital.go.jp/meeting/posts/LSMfoLzU,デジタル臨時行政調査会作業部会（第7回）（令和4年3月23日開催）,
2022/03/30,https://www.digital.go.jp/councils/77bcb85a-52bb-4f82-b8d1-568b310b77a7/,デジタル臨時行政調査会（第3回）,
2022/04/07,https://www.digital.go.jp/councils/6b5f4e23-911b-4b36-a7e4-ceb114734ca0/,こどもに関する情報・データ連携 副大臣プロジェクトチーム（第3回）（令和4年4月7日開催）,
2022/04/08,https://www.digital.go.jp/councils/58c8d719-4cdd-429e-bc63-5358e498ed93/,トラストを確保したDX推進サブワーキンググループ（第8回）（令和4年4月8日開催）,
2022/04/13,https://www.digital.go.jp/councils/,デジタル交通社会のありかたに関する研究会（第1回）（令和4年4月13日開催）,
2022/04/13,https://www.digital.go.jp/councils/ee7c272f-084d-4e3f-b042-da94e150bb04/,デジタル臨時行政調査会作業部会 法制事務のデジタル化検討チーム（第4回）（令和4年4月13日開催）,
2022/04/14,https://www.digital.go.jp/councils/698fe447-2ae4-47f1-a948-896ffac46400/,第4回デジタル社会構想会議（令和4年4月14日開催）,
2022/04/20,https://www.digital.go.jp/councils/6e67a5a6-01cd-480b-babb-1811d7b94899/,第3回デジタル社会推進会議幹事会（令和4年4月20日開催）,
2022/04/20,https://www.digital.go.jp/councils/43f45a07-a16d-4df2-947f-76fd89ca216d/,デジタル臨時行政調査会作業部会（第8回）（令和4年4月20日開催）,
2022/04/25,https://www.digital.go.jp/councils/f00c5ffd-b9b4-431c-b2fc-a593bbda6c8f/,トラストを確保したDX推進サブワーキンググループ（第9回）（令和4年4月25日開催）,
2022/04/27,https://www.digital.go.jp/councils/877856c8-3dbc-40e6-97d9-85699c55b265/,デジタル交通社会のありかたに関する研究会（第2回）（令和4年4月27日開催）,
2022/05/12,https://www.digital.go.jp/councils/3f042403-26a0-4b78-b773-1de7a8765ca5/,デジタル臨時行政調査会作業部会（第9回）（令和4年5月12日開催）,
2022/05/13,https://www.digital.go.jp/councils/67c1bfe0-5b2d-4c28-a7a1-5d864f72d1f1/,マイナンバー制度及び国と地方のデジタル基盤抜本改善ワーキンググループ（第4回）（令和4年5月13日開催）,
2022/05/13,https://www.digital.go.jp/councils/a91f8fa3-2752-47d1-a135-f5408b607228/,デジタル臨時行政調査会作業部会 法制事務のデジタル化検討チーム（第5回）（令和4年5月13日開催）,
2022/05/17,https://www.digital.go.jp/councils/6675f020-7fdf-42bd-b0cd-029991d82495/,第5回デジタル社会構想会議（令和4年5月17日開催）,
2022/05/17,https://www.digital.go.jp/councils/e617a8c6-f884-4fad-b27f-cc1cbba04982/,デジタル交通社会のありかたに関する研究会（第3回）（令和4年5月17日開催）,
2022/05/18,https://www.digital.go.jp/councils/9ed622da-02ca-466b-a79c-97169b556519/,デジタル臨時行政調査会作業部会（第10回）（令和4年5月18日開催）,
2022/05/20,https://www.digital.go.jp/councils/049f9c7d-aa69-4d4d-aa8f-e6a8ab79dc05/,トラストを確保したDX推進サブワーキンググループ（第10回）（令和4年5月20日開催）,
2022/05/20,https://www.digital.go.jp/councils/c0adc86e-c148-490b-a538-34288bcd53f0/,デジタル臨時行政調査会作業部会（第11回）（令和4年5月20日開催）,
2022/05/27,https://www.digital.go.jp/councils/09b85177-f603-4cfe-b88c-e7657a53de90/,デジタル交通社会のありかたに関する研究会（第4回）（令和4年5月27日開催）,
2022/06/03,https://www.digital.go.jp/councils/cb5865d2-8031-4595-8930-8761fb6bbe10/,デジタル臨時行政調査会（第4回）（令和4年6月3日開催）,
2022/06/06,https://www.digital.go.jp/councils/668823c8-2cfb-488d-a13d-79ab52bed22f/,"第3回デジタル社会推進会議（令和4年6月6日開催）
",
2022/06/14,https://www.digital.go.jp/councils/eeb9a9a5-34a4-471f-9f59-678fcc1b95a9/,こどもに関する情報・データ連携 副大臣プロジェクトチーム（第4回）（令和4年6月14日開催）,
2022/06/23,https://www.digital.go.jp/councils/icPUoaig,データ戦略推進ワーキンググループ（第1回）（令和3年10月25日開催）
2022/06/23,https://www.digital.go.jp/councils/ZBbSJpVd,データ戦略推進ワーキンググループ（第2回）（令和3年12月2日開催）
2022/06/23,https://www.digital.go.jp/councils/7eu9oX0z,データ戦略推進ワーキンググループ（第3回）（令和4年3月4日開催）
2022/06/23,https://www.digital.go.jp/councils/tXNuQc45,トラストを確保したDX推進サブワーキンググループ（第3回）（令和3年12月27日開催）
2022/06/23,https://www.digital.go.jp/councils/3zmv1HyO,プラットフォームにおけるデータ取扱いルールの実装に関するサブワーキンググループ（第1回）（令和3年11月16日開催）
2022/06/23,https://www.digital.go.jp/councils/OkKwCLVn,プラットフォームにおけるデータ取扱いルールの実装に関するサブワーキンググループ（第2回）（令和4年2月14日開催）
2022/06/23,https://www.digital.go.jp/councils/VYpdCM5B,EBPM推進委員会幹事会（第1回）（令和4年3月3日開催）
2022/06/23,https://www.digital.go.jp/councils/8ba7H2qy,第2回デジタル社会推進会議幹事会（令和3年12月22日開催）
2022/06/23,https://www.digital.go.jp/councils/77bcb85a-52bb-4f82-b8d1-568b310b77a7,デジタル臨時行政調査会（第3回）（令和4年3月30日開催）
2022/06/23,https://www.digital.go.jp/councils/eFXeAJBr,デジタル臨時行政調査会作業部会（第1回）（令和4年2月10日開催）
2022/06/23,https://www.digital.go.jp/councils/0Uw9MIb7,デジタル臨時行政調査会作業部会（第4回）（令和4年3月10日開催）
2022/06/23,https://www.digital.go.jp/councils/o5r7VNaA,デジタル臨時行政調査会作業部会 法制事務のデジタル化検討チーム（第2回）（令和4年2月28日開催）
2022/06/23,https://www.digital.go.jp/councils/kxRzNtGE,内閣官房情報通信技術（IT）総合戦略室 コンプライアンス委員会（令和3年8月27日開催）
2022/06/23,https://www.digital.go.jp/councils/258f7c5c-219e-4f23-9791-ea7efcb4aba3,「デジタルの日」検討委員会（令和4年度 第1回）
2022/06/23,https://www.digital.go.jp/councils/4fcf576b-fc90-4dfb-b02d-88cc1e8a41ac,マイナンバーカードの普及と健康保険証利用に関する関係府省庁会議（第6回）（令和4年3月24日開催）
2022/06/23,https://www.digital.go.jp/councils/Sl200Av1,こどもに関する情報・データ連携 副大臣プロジェクトチーム（第1回）（令和3年11月26日開催）
2022/06/23,https://www.digital.go.jp/councils/64HQeKLf,こどもに関する情報・データ連携 副大臣プロジェクトチーム（第2回）（令和4年1月21日開催）
2022/06/23,https://www.digital.go.jp/councils/5589466b-5eb7-447d-9164-2cfa048a0d0f,第1回次世代セキュリティアーキテクチャ検討会（令和4年2月24日開催）
2022/06/23,https://www.digital.go.jp/councils/c1fc9279-0a87-426c-adc6-0f6378b2953c,第2回次世代セキュリティアーキテクチャ検討会（令和4年3月15日開催）
2022/06/23,https://www.digital.go.jp/councils/df0a79c0-be26-4084-8fb1-62911a01d403/,デジタル庁情報システム調達改革検討会（第1回）
2022/06/24,https://www.digital.go.jp/councils/2acb2e88-035c-4f38-acb9-fc54e61d6fd7/,EBPM推進委員会（第2回）（令和4年6月17日開催）
2022/06/29,https://www.digital.go.jp/councils/0567fe93-b7d8-4c25-8a6c-46312c687f88,トラストを確保したDX推進サブワーキンググループ（第11回）（令和4年6月29日開催）
2022/06/29,https://www.digital.go.jp/councils/0567fe93-b7d8-4c25-8a6c-46312c687f88/,トラストを確保したDX推進サブワーキンググループ（第11回）を開催しました
2022/07/07,https://www.digital.go.jp/councils/258f7c5c-219e-4f23-9791-ea7efcb4aba3/,「デジタルの日」検討委員会（令和4年度 第1回）の議事要旨を掲載しました
2022/07/25,https://www.digital.go.jp/councils/EQfDTVuA,デジタル庁コンプライアンス委員会（第2回）（令和3年9月29日開催）
2022/07/25,https://www.digital.go.jp/councils/SnUNooHr,デジタル庁コンプライアンス委員会（第3回）（令和3年12月17日開催）
2022/07/25,https://www.digital.go.jp/councils/d9b3ed9d-30dd-4629-8ebb-15241b8e76c9/,デジタル庁コンプライアンス委員会（第4回）（令和4年7月22日開催）
2022/08/01,https://www.digital.go.jp/councils/b2cd2414-9e37-444b-93d7-1df08e3d1523,デジタル庁情報システム調達改革検討会（第2回）
2022/08/01,https://www.digital.go.jp/councils/b2cd2414-9e37-444b-93d7-1df08e3d1523/,デジタル庁情報システム調達改革検討会（第2回）を開催しました
2022/08/02,https://www.digital.go.jp/councils/88452c38-0133-4ad2-b3c1-88f4686bd02d/,第4回デジタル社会推進会議幹事会（令和4年8月1日開催）
2022/08/09,https://www.digital.go.jp/councils/c31fff19-1977-4dc2-9824-92e40bd81e06/,デジタル臨時行政調査会作業部会（第12回）（令和4年8月9日開催）
2022/08/09,https://www.digital.go.jp/councils/8e79c60b-0ad6-48a6-9732-0a4a1d7ef871,EBPM推進委員会幹事会（第2回）（令和4年8月9日開催）
2022/08/09,https://www.digital.go.jp/councils/8e79c60b-0ad6-48a6-9732-0a4a1d7ef871/,EBPM推進委員会幹事会（第2回）を開催しました
2022/08/23,https://www.digital.go.jp/councils/aacc90ee-b603-488b-affb-8915c3a8ef14,マイナンバーカードの普及と健康保険証利用に関する関係府省庁会議（第7回）（令和4年8月9日開催）
2022/08/23,https://www.digital.go.jp/councils/aacc90ee-b603-488b-affb-8915c3a8ef14/,マイナンバーカードの普及と健康保険証利用に関する関係府省庁会議（第7回）を開催しました
2022/08/24,https://www.digital.go.jp/councils/242683f8-1f4f-47c0-9fbc-e7b833563f5d,「デジタルの日」検討委員会（令和4年度 第2回）（令和4年8月19日開催）
2022/08/24,https://www.digital.go.jp/councils/242683f8-1f4f-47c0-9fbc-e7b833563f5d/,「デジタルの日」検討委員会（令和4年度 第2回）を開催しました
2022/08/25,https://www.digital.go.jp/councils/72b46e0b-fbce-43a6-bd27-f0420b5064a2/,マイナンバー制度及び国と地方のデジタル基盤抜本改善ワーキンググループ（第5回）（令和4年8月25日開催）
2022/08/30,https://www.digital.go.jp/councils/f0c4ebf4-bd96-49f3-bd84-cb0653629b25/,デジタル臨時行政調査会作業部会（第13回）（令和4年8月30日開催）
2022/09/06,https://www.digital.go.jp/councils/b565c818-75f4-4990-9125-dd43af8362ba/,データ戦略推進ワーキンググループ（第4回）（令和4年9月6日開催）
2022/09/06,https://www.digital.go.jp/councils/OiQ8dBEV/,デジタル臨時行政調査会作業部会（第5回）の議事録等を掲載しました
2022/09/06,https://www.digital.go.jp/councils/0Uw9MIb7/,デジタル臨時行政調査会作業部会（第4回）の議事録等を掲載しました
2022/09/07,https://www.digital.go.jp/councils/a7a032b1-fba8-4f68-b0bd-c6013fdc1c2b/,「デジタルの日」検討委員会（令和4年度 第3回）（令和4年9月6日開催）
2022/09/07,https://www.digital.go.jp/councils/c7a61bad-8f4c-441e-9bf2-51f80e7439fe/,デジタル庁情報システム調達改革検討会（第3回）（令和4年9月7日開催）
2022/09/12,https://www.digital.go.jp/councils/ea34cbf5-2400-4be3-b223-2f3f33f51aa9/,デジタル臨時行政調査会作業部会 法制事務のデジタル化検討チーム（第6回）を開催しました
2022/09/28,https://www.digital.go.jp/councils/8d5b0bab-9198-4652-962c-67e98c73b462/,デジタル臨時行政調査会作業部会（第14回）（令和4年9月28日開催）
2022/09/30,https://www.digital.go.jp/councils/fb619f03-5fbd-4dd7-8bb1-114c6f63f0ba/,第5回デジタル社会推進会議幹事会（令和4年9月30日開催）
2022/09/30,https://www.digital.go.jp/councils/gQ6Pun4A,地方公共団体の基幹業務等システムの統一・標準化に関する関係府省会議（第1回）（令和3年9月22日開催）
2022/09/30,https://www.digital.go.jp/councils/00a070ae-e7a7-432b-b196-fec37c7063fa,地方公共団体の基幹業務等システムの統一・標準化に関する関係府省会議（第2回）（令和4年9月30日開催）
2022/09/30,https://www.digital.go.jp/councils/00a070ae-e7a7-432b-b196-fec37c7063fa/,地方公共団体の基幹業務等システムの統一・標準化に関する関係府省会議（令和4年9月30日開催）を開催しました
2022/10/03,https://www.digital.go.jp/councils/245ff3b5-279b-43c8-9111-e4a56b09f73a,デジタル庁情報システム調達改革検討会（第4回）（令和4年10月3日開催）
2022/10/03,https://www.digital.go.jp/councils/245ff3b5-279b-43c8-9111-e4a56b09f73a/,デジタル庁情報システム調達改革検討会（第4回）を開催しました
2022/10/03,https://www.digital.go.jp/councils/b1ae707f-8dfa-4b40-8003-e8eec74f6a02/,デジタル臨時行政調査会作業部会 テクノロジーベースの規制改革推進委員会（第1回）（令和4年10月3日開催）
2022/10/05,https://www.digital.go.jp/councils/5560e028-18ee-4857-bd9a-3ebdaf539faa,マイナンバー制度及び国と地方のデジタル基盤抜本改善ワーキンググループ（第6回）（令和4年10月5日開催）
2022/10/05,https://www.digital.go.jp/councils/5560e028-18ee-4857-bd9a-3ebdaf539faa/,マイナンバー制度及び国と地方のデジタル基盤抜本改善ワーキンググループ（第6回）を開催しました
2022/10/05,https://www.digital.go.jp/councils/31304f21-d56a-4d15-b63e-3b9ef1b96e38,第1回Web3.0研究会（令和4年10月5日開催）
2022/10/05,https://www.digital.go.jp/councils/31304f21-d56a-4d15-b63e-3b9ef1b96e38/,第1回Web3.0研究会を開催しました
2022/10/11,https://www.digital.go.jp/councils/19256b0d-e0fb-4bd0-921a-9287189d7451,デジタル改革に向けたマルチステークホルダーモデルの運用（処分通知等のデジタル化）（令和4年9月30日から令和4年11月30日までの予定）
2022/10/11,https://www.digital.go.jp/councils/19256b0d-e0fb-4bd0-921a-9287189d7451/,デジタル改革に向けたマルチステークホルダーモデルの運用（処分通知等のデジタル化）を開催しました
2022/10/12,https://www.digital.go.jp/councils/9ea178c9-8451-474c-9883-01d6b053b9a5,第2回Web3.0研究会（令和4年10月12日開催）
